Mixture	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet	P-value	Correlation	RMSE	Absolute score (sig.score)
B.memory	0.0698497352782459	5.41471870528774	0.118639344940139	0	0	0	0	0	0	0.01	0.194356239170668	1.00059245100936	5.60320778550612
B.naive	0.0909973441631216	5.97936044937254	0	0	0	0	0	0	0	0.02	0.18572504005312	1.00470875747523	6.07035779353567
B.plasma	0	3.97941570867553	0.788039337269507	0	0	0.112296892721159	0	0.00710831831306017	0.306809540968712	0.54	-0.00433584487165538	1.06107402573847	5.19366979794797
Basophil	0	0	0	8.70082268917208	0	0	0	1.70907613389791	0.932564540851321	0.09	0.0559879015087897	1.45939159595042	11.3424633639213
Eosinophil	0.00117044325504011	0.158168844348308	1.64624470085388	14.9509907289288	0	0	0	0	0.0696876692144853	0	0.40707618916053	1.18294457751332	16.8262623866005
Erythrocyte	0	0.550996723433612	0.559351488067482	1.09353400905796	0.208789460147123	0	0	0	0.394646330352138	0.56	-0.00460794005627238	1.18453026461276	2.80731801105832
mDC	0.159716556390474	0	0	6.7646318484811	0	0	0	0.62520868901137	0.0435779547306277	0.04	0.103509245307533	1.49000629257541	7.59313504861357
MO.classical	0	0.144628955567406	1.46223230992394	14.3877575128935	0	0	0	0	0.0572116994575271	0	0.695145160845042	0.860980519749461	16.0518304778424
MO.intermediate	0	0.00422910989766013	1.32707551030775	13.5379228739191	0	0	0	0	0.0737439827883604	0	0.630367255903402	0.951762514563266	14.9429714769129
MO.nonclassical	0	0	0.992566931533679	13.1697085233095	0	0	0	0	0.0784225538736339	0	0.489442933108593	1.12761919248838	14.2406980087168
mTregs	0	0	6.3002780248427	0.028250516738668	0	0	0	0	0.000362287283172485	0.0600000000000001	0.0768981736757386	1.03775224642776	6.32889082886454
Neutrophil	0.12500406734258	0.0608058628471632	1.58479679408111	16.9436612101797	0	0	0	0	0	0	0.590012571853503	0.999816339685933	18.7142679344506
NK.bright	1.95067228716614	0	0	0.597179165866112	2.459560904341	0	1.69662097145215	0	0	0.03	0.117855290446652	1.07960487053566	6.70403332882541
NK.dim	0.304291857382551	0	0	0.177200813464127	8.17496304512764	0	0.347562708545421	0	0	0.01	0.278100359858086	1.16872689271744	9.00401842451974
nTregs	0	0	4.5124325797156	0	0	0	1.40022525245107	0.0196256991436858	0.0371223753063212	0.08	0.0633309793050399	1.03946606828607	5.96940590661668
pDC	0	0.737367646651385	0	0.779489715308799	0.223605385930124	0	2.1016196074848	2.79750474346814	0.588753876873272	0.15	0.0236988549460991	1.11867345726148	7.22834097571651
T4.CM	0	0	4.88193927636202	0	0	0	0.369197135109425	0	0	0.03	0.120716210542415	1.02226832771868	5.25113641147145
T4.EM	0.516788224892506	0	5.05423088405852	0.216956344676454	0	0	0	0	0.00854914207913588	0.03	0.114146309947347	1.02367257197848	5.79652459570662
T4.EMRA	3.34329726067815	0	3.98875485135476	0.983353129975362	0	0	0	0	0.031332862789736	0.07	0.0683237481936654	1.05024024706862	8.34673810479801
T4.naive	0	0	1.20565161568204	0	0.00532412114572487	0	3.7040549853788	0	0	0.02	0.14466562757285	1.01033592429949	4.91503072220656
T8.CM	1.75343267509594	0	1.09205214099189	0.026665885506935	0	0	3.19477998619138	0	0	0.02	0.135572771671918	1.0173180957865	6.06693068778614
T8.EM	4.93784453369819	0	1.61150541821543	0.0245467119817652	0	0	0	0	0	0.01	0.255776730108567	0.989055893491571	6.57389666389538
T8.EMRA	6.14193884444065	0	0	0	0	0	0.847046888077328	0	0	0.01	0.280187956896382	0.984082760304426	6.98898573251798
T8.naive	0	0	0	0	0	0	5.08128893588352	0	0.000402317840834125	0.02	0.175101199955043	0.999816021546123	5.08169125372435
Th1	0.416713724795054	0	3.83089599823785	0	0	0	0.769975740440207	0	0.00207794083165235	0.02	0.148993506050771	1.01175422521467	5.01966340430476
Th17	0	0	5.694921183391	0	0	0	0	0	0.00235552735673718	0.04	0.105006740173775	1.02830314592408	5.69727671074773
Th2	0	0	4.37691242008529	0.0163009773855796	0	0	0.802889075007629	0	0	0.04	0.105098608521034	1.02673919170102	5.1961024724785
Thrombocyte	0	0	0.524349838377424	0	0.0172581142916231	0	0	0	3.82072772612357	0.01	0.326209978774592	1.7040106415991	4.36233567879261
